运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
2.425,-0.685,0.094,5.655,-0.0164,0.002,0.135,-0.113,0.063,0.628,-0.0027,0.002,0.015
2.450,-0.680,0.251,5.655,-0.0162,0.006,0.135,-0.112,0.094,1.885,-0.0027,0.002,0.045
2.475,-0.672,0.377,4.398,-0.0160,0.009,0.105,-0.108,0.157,1.257,-0.0026,0.004,0.030
2.500,-0.661,0.471,4.398,-0.0158,0.011,0.105,-0.104,0.157,0.628,-0.0025,0.004,0.015
2.525,-0.649,0.597,5.027,-0.0155,0.014,0.120,-0.101,0.188,1.885,-0.0024,0.004,0.045
2.550,-0.631,0.723,4.398,-0.0151,0.017,0.105,-0.094,0.251,0.628,-0.0023,0.006,0.015
2.575,-0.613,0.817,3.770,-0.0146,0.020,0.090,-0.088,0.220,5.551E-15,-0.0021,0.005,8.674E-17
2.600,-0.591,0.911,3.770,-0.0141,0.022,0.090,-0.083,0.251,1.885,-0.0020,0.006,0.045
2.625,-0.567,1.005,3.770,-0.0135,0.024,0.090,-0.075,0.314,1.257,-0.0018,0.008,0.030
2.650,-0.540,1.100,3.142,-0.0129,0.026,0.075,-0.068,0.314,-6.106E-14,-0.0016,0.007,-1.336E-15
2.675,-0.512,1.162,3.142,-0.0122,0.028,0.075,-0.060,0.314,5.329E-14,-0.0014,0.007,1.336E-15
2.700,-0.482,1.257,3.142,-0.0115,0.030,0.075,-0.052,0.314,5.551E-14,-0.0012,0.008,1.336E-15
