运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
2.075,-0.331,-1.414,1.257,-0.0079,-0.034,0.030,0.047,0.283,-0.628,0.0011,0.007,-0.015
2.100,-0.366,-1.382,1.257,-0.0087,-0.033,0.030,0.055,0.283,-0.628,0.0013,0.007,-0.015
2.125,-0.401,-1.351,2.513,-0.0096,-0.032,0.060,0.061,0.251,-0.628,0.0015,0.006,-0.015
2.150,-0.434,-1.257,4.398,-0.0103,-0.030,0.105,0.068,0.251,-4.774E-14,0.0016,0.006,-1.076E-15
2.175,-0.463,-1.131,4.398,-0.0111,-0.027,0.105,0.074,0.251,4.441E-14,0.0018,0.006,1.076E-15
2.200,-0.490,-1.037,3.770,-0.0117,-0.025,0.090,0.080,0.251,-0.628,0.0019,0.006,-0.015
2.225,-0.515,-0.942,4.398,-0.0123,-0.023,0.105,0.086,0.220,-1.257,0.0021,0.005,-0.030
2.250,-0.537,-0.817,5.655,-0.0128,-0.020,0.135,0.091,0.188,-0.628,0.0022,0.005,-0.015
2.275,-0.556,-0.660,6.283,-0.0133,-0.016,0.150,0.096,0.188,-0.628,0.0023,0.004,-0.015
2.300,-0.570,-0.503,5.655,-0.0136,-0.012,0.135,0.101,0.157,-1.257,0.0024,0.004,-0.030
2.325,-0.581,-0.377,5.027,-0.0139,-0.009,0.120,0.104,0.126,-1.257,0.0025,0.003,-0.030
2.350,-0.589,-0.251,6.283,-0.0141,-0.006,0.150,0.107,0.094,-1.257,0.0026,0.002,-0.030
2.375,-0.594,-0.063,6.912,-0.0142,-0.002,0.165,0.108,0.063,-0.628,0.0026,0.002,-0.015
2.400,-0.592,0.094,6.283,-0.0141,0.002,0.150,0.110,0.063,-0.628,0.0026,0.002,-0.015
2.425,-0.589,0.251,6.283,-0.0141,0.006,0.150,0.112,0.031,-1.885,0.0027,7.500E-4,-0.045
2.450,-0.580,0.408,5.655,-0.0138,0.010,0.135,0.112,-0.031,-1.885,0.0027,-7.500E-4,-0.045
2.475,-0.569,0.534,5.655,-0.0136,0.013,0.135,0.110,-0.063,-0.628,0.0026,-0.002,-0.015
2.500,-0.553,0.691,5.655,-0.0132,0.016,0.135,0.108,-0.063,-0.628,0.0026,-0.002,-0.015
2.525,-0.534,0.817,5.655,-0.0127,0.019,0.135,0.107,-0.094,-1.257,0.0026,-0.002,-0.030
2.550,-0.512,0.974,5.655,-0.0122,0.023,0.135,0.104,-0.126,-1.257,0.0025,-0.003,-0.030
2.575,-0.485,1.100,3.770,-0.0116,0.026,0.090,0.101,-0.157,-1.257,0.0024,-0.004,-0.030
2.600,-0.457,1.162,3.142,-0.0109,0.028,0.075,0.096,-0.188,-0.628,0.0023,-0.005,-0.015
2.625,-0.427,1.257,3.142,-0.0102,0.030,0.075,0.091,-0.188,-0.628,0.0022,-0.004,-0.015
2.650,-0.394,1.319,2.513,-0.0094,0.031,0.060,0.086,-0.220,-1.257,0.0021,-0.005,-0.030
2.675,-0.361,1.382,2.513,-0.0086,0.033,0.060,0.080,-0.251,-0.628,0.0019,-0.006,-0.015
2.700,-0.325,1.445,1.257,-0.0078,0.035,0.030,0.074,-0.251,-3.331E-15,0.0018,-0.006,0.000
2.725,-0.289,1.445,0.628,-0.0069,0.035,0.015,0.068,-0.251,3.886E-14,0.0016,-0.006,1.076E-15
2.750,-0.253,1.477,0.628,-0.0060,0.035,0.015,0.061,-0.251,-0.628,0.0015,-0.006,-0.015
2.775,-0.215,1.477,-0.628,-0.0051,0.035,-0.015,0.055,-0.283,-1.257,0.0013,-0.007,-0.030
2.800,-0.179,1.445,-1.257,-0.0043,0.035,-0.030,0.047,-0.314,-1.257,0.0011,-0.008,-0.030
2.825,-0.143,1.414,-1.257,-0.0034,0.034,-0.030,0.039,-0.346,-0.628,9.3750E-4,-0.008,-0.015
2.850,-0.108,1.382,-2.513,-0.0026,0.033,-0.060,0.030,-0.346,6.106E-14,7.1250E-4,-0.008,1.457E-15
2.875,-0.074,1.288,-4.398,-0.0018,0.031,-0.105,0.022,-0.346,5.995E-14,5.2500E-4,-0.008,1.422E-15
2.900,-0.044,1.162,-3.142,-0.0010,0.028,-0.075,0.013,-0.346,0.628,3.0000E-4,-0.008,0.015
2.925,-0.016,1.131,-3.142,-3.7500E-4,0.027,-0.075,0.005,-0.314,1.257,1.1250E-4,-0.008,0.030
2.950,0.013,1.005,-6.283,3.0000E-4,0.024,-0.150,-0.003,-0.283,0.628,-7.5000E-5,-0.007,0.015
2.975,0.035,0.817,-5.655,8.2500E-4,0.020,-0.135,-0.009,-0.283,4.885E-14,-2.2500E-4,-0.007,1.197E-15
3.000,0.053,0.723,-3.770,0.0013,0.017,-0.090,-0.017,-0.283,1.257,-4.1250E-4,-0.007,0.030
3.025,0.071,0.628,-5.027,0.0017,0.015,-0.120,-0.024,-0.220,2.513,-5.6250E-4,-0.005,0.060
3.050,0.085,0.471,-6.912,0.0020,0.011,-0.165,-0.028,-0.157,1.885,-6.7500E-4,-0.004,0.045
3.075,0.094,0.283,-6.912,0.0023,0.007,-0.165,-0.031,-0.126,1.257,-7.5000E-4,-0.003,0.030
3.100,0.099,0.126,-6.283,0.0024,0.003,-0.150,-0.035,-0.094,1.257,-8.2500E-4,-0.002,0.030
3.125,0.101,-0.031,-6.283,0.0024,-7.500E-4,-0.150,-0.036,-0.063,1.257,-8.6250E-4,-0.001,0.030
3.150,0.097,-0.188,-6.283,0.0023,-0.004,-0.150,-0.038,-0.031,1.257,-9.0000E-4,-7.500E-4,0.030
3.175,0.091,-0.346,-6.283,0.0022,-0.008,-0.150,-0.038,0.000,1.257,-9.0000E-4,0.000,0.030
3.200,0.080,-0.503,-5.655,0.0019,-0.012,-0.135,-0.038,0.031,1.257,-9.0000E-4,7.500E-4,0.030
3.225,0.066,-0.628,-5.655,0.0016,-0.015,-0.135,-0.036,0.063,1.257,-8.6250E-4,0.002,0.030
3.250,0.049,-0.785,-5.655,0.0012,-0.019,-0.135,-0.035,0.094,1.885,-8.2500E-4,0.002,0.045
3.275,0.027,-0.911,-4.398,6.3750E-4,-0.022,-0.105,-0.031,0.157,1.885,-7.5000E-4,0.004,0.045
3.300,0.003,-1.005,-4.398,7.5000E-5,-0.024,-0.105,-0.027,0.188,1.257,-6.3750E-4,0.005,0.030
3.325,-0.024,-1.131,-4.398,-5.6250E-4,-0.027,-0.105,-0.022,0.220,1.257,-5.2500E-4,0.005,0.030
3.350,-0.053,-1.225,-3.770,-0.0013,-0.029,-0.090,-0.016,0.251,1.257,-3.7500E-4,0.006,0.030
3.375,-0.085,-1.319,-3.142,-0.0020,-0.031,-0.075,-0.009,0.283,1.257,-2.2500E-4,0.007,0.030
3.400,-0.119,-1.382,-1.885,-0.0028,-0.033,-0.045,-0.002,0.314,0.628,-3.7500E-5,0.007,0.015
3.425,-0.154,-1.414,-1.885,-0.0037,-0.034,-0.045,0.006,0.314,0.628,1.5000E-4,0.008,0.015
3.450,-0.190,-1.477,-1.257,-0.0045,-0.035,-0.030,0.014,0.346,1.257,3.3750E-4,0.008,0.030
3.475,-0.228,-1.477,0.628,-0.0054,-0.035,0.015,0.024,0.377,0.628,5.6250E-4,0.009,0.015
3.500,-0.264,-1.445,0.628,-0.0063,-0.034,0.015,0.033,0.377,-1.257,7.8750E-4,0.009,-0.030
3.525,-0.300,-1.445,0.628,-0.0072,-0.034,0.015,0.042,0.314,-2.513,0.0010,0.007,-0.060
3.550,-0.336,-1.414,1.257,-0.0080,-0.034,0.030,0.049,0.251,-1.257,0.0012,0.006,-0.030
3.575,-0.371,-1.382,1.885,-0.0088,-0.033,0.045,0.055,0.251,0.628,0.0013,0.006,0.015
3.600,-0.405,-1.319,3.142,-0.0097,-0.032,0.075,0.061,0.283,0.628,0.0015,0.007,0.015
3.625,-0.437,-1.225,3.770,-0.0104,-0.029,0.090,0.069,0.283,-0.628,0.0017,0.007,-0.015
3.650,-0.467,-1.131,3.770,-0.0111,-0.027,0.090,0.075,0.251,-1.257,0.0018,0.006,-0.030
3.675,-0.493,-1.037,3.770,-0.0118,-0.025,0.090,0.082,0.220,-0.628,0.0020,0.005,-0.015
3.700,-0.518,-0.942,5.027,-0.0124,-0.023,0.120,0.086,0.220,-0.628,0.0021,0.005,-0.015
3.725,-0.540,-0.785,6.283,-0.0129,-0.019,0.150,0.093,0.188,-1.257,0.0022,0.005,-0.030
3.750,-0.558,-0.628,5.655,-0.0133,-0.015,0.135,0.096,0.157,-0.628,0.0023,0.004,-0.015
3.775,-0.572,-0.503,5.655,-0.0136,-0.012,0.135,0.101,0.157,-0.628,0.0024,0.004,-0.015
3.800,-0.583,-0.346,6.283,-0.0139,-0.008,0.150,0.104,0.126,-1.257,0.0025,0.003,-0.030
3.825,-0.589,-0.188,5.655,-0.0141,-0.005,0.135,0.107,0.094,-1.257,0.0026,0.002,-0.030
3.850,-0.592,-0.063,5.655,-0.0141,-0.002,0.135,0.108,0.063,-0.628,0.0026,0.002,-0.015
3.875,-0.592,0.094,6.283,-0.0141,0.002,0.150,0.110,0.063,-0.628,0.0026,0.002,-0.015
3.900,-0.587,0.251,6.912,-0.0140,0.006,0.165,0.112,0.031,-1.885,0.0027,7.500E-4,-0.045
3.925,-0.580,0.440,6.912,-0.0138,0.011,0.165,0.112,-0.031,-1.885,0.0027,-7.500E-4,-0.045
3.950,-0.565,0.597,5.027,-0.0135,0.014,0.120,0.110,-0.063,-0.628,0.0026,-0.002,-0.015
3.975,-0.550,0.691,5.027,-0.0131,0.017,0.120,0.108,-0.063,-0.628,0.0026,-0.002,-0.015
4.000,-0.531,0.848,5.655,-0.0127,0.020,0.135,0.107,-0.094,-1.885,0.0026,-0.002,-0.045
4.025,-0.507,0.974,4.398,-0.0121,0.023,0.105,0.104,-0.157,-1.257,0.0025,-0.004,-0.030
4.050,-0.482,1.068,4.398,-0.0115,0.026,0.105,0.099,-0.157,5.551E-14,0.0024,-0.004,1.336E-15
4.075,-0.454,1.194,4.398,-0.0108,0.028,0.105,0.096,-0.157,-1.257,0.0023,-0.004,-0.030
4.100,-0.423,1.288,3.142,-0.0101,0.031,0.075,0.091,-0.220,-1.257,0.0022,-0.005,-0.030
4.125,-0.390,1.351,1.885,-0.0093,0.032,0.045,0.085,-0.220,0.000,0.0020,-0.005,8.674E-17
4.150,-0.355,1.382,1.257,-0.0085,0.033,0.030,0.080,-0.220,-0.628,0.0019,-0.005,-0.015
4.175,-0.320,1.414,1.885,-0.0076,0.034,0.045,0.074,-0.251,-0.628,0.0018,-0.006,-0.015
4.200,-0.284,1.477,1.257,-0.0068,0.035,0.030,0.068,-0.251,-0.628,0.0016,-0.006,-0.015
4.225,-0.247,1.477,-0.628,-0.0059,0.035,-0.015,0.061,-0.283,-0.628,0.0015,-0.007,-0.015
4.250,-0.210,1.445,-0.628,-0.0050,0.035,-0.015,0.053,-0.283,-0.628,0.0013,-0.007,-0.015
4.275,-0.174,1.445,-0.628,-0.0042,0.035,-0.015,0.047,-0.314,-1.257,0.0011,-0.008,-0.030
4.300,-0.138,1.414,-1.257,-0.0033,0.034,-0.030,0.038,-0.346,-0.628,9.0000E-4,-0.008,-0.015
