in s,C1 in V
-1.8886080E-04,2.028620539003E+00
-1.8885120E-04,2.028858234801E+00
-1.8884160E-04,2.028745819230E+00
-1.8883200E-04,2.028520215184E+00
-1.8882240E-04,2.027463726674E+00
-1.8881280E-04,2.029234847587E+00
-1.8880320E-04,2.027708944075E+00
-1.8879360E-04,2.027809729234E+00
-1.8878400E-04,2.029371360161E+00
-1.8877440E-04,2.028384447482E+00
-1.8876480E-04,2.027837356769E+00
-1.8875520E-04,2.028281656776E+00
-1.8874560E-04,2.027686183036E+00
-1.8873600E-04,2.027581237007E+00
-1.8872640E-04,2.027958262276E+00
-1.8871680E-04,2.028034696535E+00
-1.8870720E-04,2.027512758460E+00
-1.8869760E-04,2.027686200656E+00
-1.8868800E-04,2.027740179833E+00
-1.8867840E-04,2.028937676579E+00
-1.8866880E-04,2.027236371778E+00
-1.8865920E-04,2.028178453587E+00
-1.8864960E-04,2.027096267801E+00
-1.8864000E-04,2.028509208702E+00
-1.8863040E-04,2.027300071933E+00
-1.8862080E-04,2.027922988993E+00
-1.8861120E-04,2.027584964570E+00
-1.8860160E-04,2.028535633229E+00
-1.8859200E-04,2.027224531521E+00
-1.8858240E-04,2.028522317645E+00
-1.8857280E-04,2.027693889656E+00
-1.8856320E-04,2.028671343264E+00
-1.8855360E-04,2.027429393690E+00
-1.8854400E-04,2.027857654926E+00
-1.8853440E-04,2.027602997676E+00
-1.8852480E-04,2.028746282172E+00
-1.8851520E-04,2.027393084795E+00
-1.8850560E-04,2.027613046237E+00
-1.8849600E-04,2.027951636922E+00
-1.8848640E-04,2.028502400734E+00
-1.8847680E-04,2.027155185558E+00
-1.8846720E-04,2.028162958652E+00
-1.8845760E-04,2.026932850939E+00
-1.8844800E-04,2.028289336965E+00
-1.8843840E-04,2.027645962362E+00
-1.8842880E-04,2.028641984903E+00
-1.8841920E-04,2.027665590134E+00
-1.8840960E-04,2.027955842644E+00
-1.8840000E-04,2.027445531778E+00
-1.8839040E-04,2.028150887724E+00
-1.8838080E-04,2.027628339336E+00
-1.8837120E-04,2.028517147594E+00
-1.8836160E-04,2.027989583735E+00
-1.8835200E-04,2.028660177395E+00
-1.8834240E-04,2.028090947971E+00
-1.8833280E-04,2.029264138669E+00
-1.8832320E-04,2.027706586115E+00
-1.8831360E-04,2.028935527664E+00
-1.8830400E-04,2.028154322144E+00
-1.8829440E-04,2.029000726372E+00
-1.8828480E-04,2.027905631878E+00
-1.8827520E-04,2.028433465653E+00
-1.8826560E-04,2.027830188379E+00
-1.8825600E-04,2.028922403504E+00
-1.8824640E-04,2.027487888553E+00
-1.8823680E-04,2.028464442708E+00
-1.8822720E-04,2.028664457605E+00
-1.8821760E-04,2.029539376006E+00
-1.8820800E-04,2.027511094913E+00
-1.8819840E-04,2.027983354044E+00
-1.8818880E-04,2.026774649781E+00
-1.8817920E-04,2.028281717647E+00
-1.8816960E-04,2.028161954277E+00
-1.8816000E-04,2.027920421187E+00
-1.8815040E-04,2.027048223570E+00
-1.8814080E-04,2.028453734976E+00
-1.8813120E-04,2.028034829490E+00
-1.8812160E-04,2.028081748404E+00
-1.8811200E-04,2.027801585302E+00
-1.8810240E-04,2.028364507344E+00
-1.8809280E-04,2.026913328089E+00
-1.8808320E-04,2.028413829070E+00
-1.8807360E-04,2.027176170119E+00
-1.8806400E-04,2.028074970071E+00
-1.8805440E-04,2.027381648209E+00
-1.8804480E-04,2.028091125779E+00
-1.8803520E-04,2.027322421290E+00
-1.8802560E-04,2.028402597525E+00
-1.8801600E-04,2.027329244476E+00
-1.8800640E-04,2.027911513161E+00
-1.8799680E-04,2.027706071113E+00
-1.8798720E-04,2.027770697151E+00
-1.8797760E-04,2.027715943467E+00
-1.8796800E-04,2.027936387074E+00
-1.8795840E-04,2.027143040944E+00
-1.8794880E-04,2.028418879781E+00
-1.8793920E-04,2.027322415684E+00
-1.8792960E-04,2.027871817902E+00
-1.8792000E-04,2.027669705350E+00
-1.8791040E-04,2.028528145265E+00
-1.8790080E-04,2.026704695106E+00
-1.8789120E-04,2.028512993131E+00
-1.8788160E-04,2.026636028339E+00
-1.8787200E-04,2.028094210990E+00
-1.8786240E-04,2.027197022524E+00
-1.8785280E-04,2.028158446171E+00
-1.8784320E-04,2.028057764333E+00
-1.8783360E-04,2.028256364774E+00
-1.8782400E-04,2.026913584389E+00
-1.8781440E-04,2.028772304628E+00
-1.8780480E-04,2.027784805663E+00
-1.8779520E-04,2.028259377901E+00
-1.8778560E-04,2.027656669293E+00
-1.8777600E-04,2.029300832015E+00
-1.8776640E-04,2.028601250027E+00
-1.8775680E-04,2.028304016546E+00
-1.8774720E-04,2.027957088903E+00
-1.8773760E-04,2.028743758418E+00
-1.8772800E-04,2.029105311979E+00
-1.8771840E-04,2.028348207467E+00
-1.8770880E-04,2.027858768229E+00
-1.8769920E-04,2.028389989969E+00
-1.8768960E-04,2.028327383094E+00
-1.8768000E-04,2.028879007914E+00
-1.8767040E-04,2.027749793485E+00
-1.8766080E-04,2.028079331175E+00
-1.8765120E-04,2.027208000172E+00
-1.8764160E-04,2.028727590695E+00
-1.8763200E-04,2.027248948098E+00
-1.8762240E-04,2.029184158661E+00
-1.8761280E-04,2.027611276966E+00
-1.8760320E-04,2.028571709052E+00
-1.8759360E-04,2.027386781417E+00
-1.8758400E-04,2.028056784787E+00
-1.8757440E-04,2.027176962246E+00
-1.8756480E-04,2.028605835393E+00
-1.8755520E-04,2.027377324749E+00
-1.8754560E-04,2.028242479723E+00
-1.8753600E-04,2.028048141070E+00
-1.8752640E-04,2.028015613400E+00
-1.8751680E-04,2.027063633606E+00
-1.8750720E-04,2.028582087599E+00
-1.8749760E-04,2.028112891253E+00
-1.8748800E-04,2.027657551125E+00
-1.8747840E-04,2.028093892217E+00
-1.8746880E-04,2.028197792221E+00
-1.8745920E-04,2.027678623788E+00
-1.8744960E-04,2.028366161280E+00
-1.8744000E-04,2.027655947648E+00
-1.8743040E-04,2.028432486907E+00
-1.8742080E-04,2.026910059464E+00
-1.8741120E-04,2.027832741768E+00
-1.8740160E-04,2.027226187058E+00
-1.8739200E-04,2.028674385224E+00
-1.8738240E-04,2.028150205326E+00
-1.8737280E-04,2.028364032388E+00
-1.8736320E-04,2.028035599191E+00
-1.8735360E-04,2.028066792500E+00
-1.8734400E-04,2.027495289214E+00
-1.8733440E-04,2.028211278405E+00
-1.8732480E-04,2.027588426222E+00
-1.8731520E-04,2.028756976288E+00
-1.8730560E-04,2.027454024118E+00
-1.8729600E-04,2.027597085957E+00
-1.8728640E-04,2.028241195821E+00
-1.8727680E-04,2.028170847886E+00
-1.8726720E-04,2.027340044316E+00
-1.8725760E-04,2.028939577204E+00
-1.8724800E-04,2.027557747115E+00
-1.8723840E-04,2.028608728379E+00
