运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
2.900,0.342,1.477,-11.938,0.0082,0.035,-0.285,0.088,-0.063,-0.628,0.0021,-0.002,-0.015
2.925,0.375,1.194,-11.310,0.0090,0.029,-0.270,0.086,-0.094,-1.885,0.0021,-0.002,-0.045
2.950,0.402,0.911,-11.310,0.0096,0.022,-0.270,0.083,-0.157,-1.257,0.0020,-0.004,-0.030
2.975,0.421,0.628,-11.938,0.0101,0.015,-0.285,0.079,-0.157,2.776E-14,0.0019,-0.004,6.679E-16
3.000,0.434,0.314,-12.566,0.0104,0.007,-0.300,0.075,-0.157,-0.628,0.0018,-0.004,-0.015
3.025,0.437,0.000,-11.938,0.0104,0.000,-0.285,0.071,-0.188,-0.628,0.0017,-0.004,-0.015
3.050,0.434,-0.283,-11.938,0.0104,-0.007,-0.285,0.066,-0.188,-0.628,0.0016,-0.005,-0.015
3.075,0.423,-0.597,-12.566,0.0101,-0.014,-0.300,0.061,-0.220,-0.628,0.0015,-0.005,-0.015
3.100,0.404,-0.911,-12.566,0.0096,-0.022,-0.300,0.055,-0.220,0.000,0.0013,-0.005,0.000
3.125,0.377,-1.225,-11.938,0.0090,-0.029,-0.285,0.050,-0.220,-0.628,0.0012,-0.005,-0.015
3.150,0.342,-1.508,-10.681,0.0082,-0.036,-0.255,0.044,-0.251,-0.628,0.0011,-0.006,-0.015
3.175,0.302,-1.759,-9.425,0.0072,-0.042,-0.225,0.038,-0.251,-4.441E-14,9.0000E-4,-0.006,-1.076E-15
3.200,0.254,-1.979,-9.425,0.0061,-0.047,-0.225,0.031,-0.251,-0.628,7.5000E-4,-0.006,-0.015
3.225,0.203,-2.231,-9.425,0.0048,-0.053,-0.225,0.025,-0.283,-1.257,6.0000E-4,-0.007,-0.030
3.250,0.143,-2.450,-7.540,0.0034,-0.059,-0.180,0.017,-0.314,-0.628,4.1250E-4,-0.008,-0.015
3.275,0.080,-2.608,-6.912,0.0019,-0.062,-0.165,0.009,-0.314,0.628,2.2500E-4,-0.007,0.015
3.300,0.013,-2.796,-6.912,3.0000E-4,-0.067,-0.165,0.002,-0.283,0.628,3.7500E-5,-0.007,0.015
3.325,-0.060,-2.953,-5.027,-0.0014,-0.071,-0.120,-0.005,-0.283,-0.628,-1.1250E-4,-0.007,-0.015
3.350,-0.135,-3.047,-3.142,-0.0032,-0.073,-0.075,-0.013,-0.314,-0.628,-3.0000E-4,-0.008,-0.015
3.375,-0.212,-3.110,-2.513,-0.0051,-0.074,-0.060,-0.020,-0.314,0.628,-4.8750E-4,-0.007,0.015
3.400,-0.291,-3.173,-1.885,-0.0069,-0.076,-0.045,-0.028,-0.283,1.257,-6.7500E-4,-0.007,0.030
3.425,-0.371,-3.204,-5.862E-13,-0.0089,-0.077,-1.305E-14,-0.035,-0.251,1.257,-8.2500E-4,-0.006,0.030
