% Model,Circuit.mph
% Version,COMSOL 6.1.0.252
% Date,"Apr 1 2024, 22:04"
% Dimension,2
% Nodes,159
% Expressions,1
% Description,电场模
% Length unit,m
% r,z,es.normE (V/m) @ loc=7
0.004717066848721245,0.008658095396741403,358746.56634351163
0.004683167864314166,0.008751553240599638,358724.6898892403
0.0046474174023676896,0.00884431870569323,358703.41870685376
0.0028087741843555677,0.011136518775649123,358340.48129580327
0.002890461886079354,0.011079856625559601,358346.0833526687
0.002971006895848153,0.01102158153278318,358352.0503946219
0.0030503773330194466,0.010961716563082367,358358.147782643
0.0022964886846421704,0.011441411906287287,358319.76789836504
0.002207729883849109,0.011486193125575356,358317.6065116951
0.0021180982717294407,0.011529200780634125,358314.7778864732
0.002027629280168431,0.011570417869539244,358311.33002202655
0.004609829625732507,0.00893635503503848,358682.72224982164
0.004570419429904671,0.00902762576299224,358662.6128514264
0.004529202410618726,0.009118094786275042,358643.0617605286
0.004486194824537599,0.009207726431488298,358624.02715032804
