in s,C1 in V
-1.8622560E-04,9.76562E-03
-1.8621600E-04,9.76562E-03
-1.8620640E-04,9.76562E-03
-1.8619680E-04,9.76562E-03
-1.8618720E-04,9.76562E-03
-1.8617760E-04,9.76562E-03
-1.8616800E-04,4.88281E-02
-1.8615840E-04,9.76562E-03
-1.8614880E-04,9.76562E-03
-1.8613920E-04,9.76562E-03
-1.8612960E-04,9.76562E-03
-1.8612000E-04,9.76562E-03
-1.8611040E-04,2.92969E-02
-1.8610080E-04,9.76562E-03
-1.8609120E-04,9.76562E-03
-1.8608160E-04,9.76562E-03
-1.8607200E-04,2.92969E-02
-1.8606240E-04,2.92969E-02
-1.8605280E-04,9.76562E-03
-1.8604320E-04,9.76562E-03
-1.8603360E-04,9.76562E-03
-1.8602400E-04,9.76562E-03
-1.8601440E-04,9.76562E-03
-1.8600480E-04,2.92969E-02
-1.8599520E-04,2.92969E-02
-1.8598560E-04,9.76562E-03
-1.8597600E-04,9.76562E-03
-1.8596640E-04,9.76562E-03
-1.8595680E-04,4.88281E-02
-1.8594720E-04,2.92969E-02
-1.8593760E-04,9.76562E-03
-1.8592800E-04,9.76562E-03
-1.8591840E-04,9.76562E-03
-1.8590880E-04,2.92969E-02
-1.8589920E-04,2.92969E-02
-1.8588960E-04,9.76562E-03
-1.8588000E-04,9.76562E-03
-1.8587040E-04,9.76562E-03
-1.8586080E-04,9.76562E-03
-1.8585120E-04,9.76562E-03
-1.8584160E-04,2.92969E-02
-1.8583200E-04,9.76562E-03
-1.8582240E-04,9.76562E-03
-1.8581280E-04,6.83594E-02
-1.8580320E-04,9.76562E-03
-1.8579360E-04,9.76562E-03
-1.8578400E-04,2.92969E-02
-1.8577440E-04,4.88281E-02
-1.8576480E-04,9.76562E-03
-1.8575520E-04,9.76562E-03
-1.8574560E-04,2.92969E-02
-1.8573600E-04,9.76562E-03
-1.8572640E-04,4.88281E-02
-1.8571680E-04,4.88281E-02
-1.8570720E-04,9.76562E-03
-1.8569760E-04,9.76562E-03
-1.8568800E-04,2.92969E-02
-1.8567840E-04,2.92969E-02
-1.8566880E-04,9.76562E-03
-1.8565920E-04,4.88281E-02
-1.8564960E-04,9.76562E-03
-1.8564000E-04,4.88281E-02
-1.8563040E-04,2.92969E-02
-1.8562080E-04,4.88281E-02
-1.8561120E-04,9.76562E-03
-1.8560160E-04,9.76562E-03
-1.8559200E-04,9.76562E-03
-1.8558240E-04,4.88281E-02
-1.8557280E-04,9.76562E-03
-1.8556320E-04,4.88281E-02
-1.8555360E-04,2.92969E-02
-1.8554400E-04,4.88281E-02
-1.8553440E-04,2.92969E-02
-1.8552480E-04,9.76562E-03
-1.8551520E-04,9.76562E-03
-1.8550560E-04,4.88281E-02
-1.8549600E-04,4.88281E-02
-1.8548640E-04,9.76562E-03
-1.8547680E-04,9.76562E-03
-1.8546720E-04,9.76562E-03
-1.8545760E-04,9.76562E-03
-1.8544800E-04,6.83594E-02
-1.8543840E-04,9.76562E-03
-1.8542880E-04,2.92969E-02
-1.8541920E-04,9.76562E-03
-1.8540960E-04,2.92969E-02
-1.8540000E-04,9.76562E-03
-1.8539040E-04,9.76562E-03
-1.8538080E-04,9.76562E-03
-1.8537120E-04,4.88281E-02
